Tip_name,Floral_architecture_code
PAPILIONOIDEAE_Sphenostylis_erecta_MN966645,1
PAPILIONOIDEAE_Sphenostylis_stenocarpa_Pettersson90_AY582977,1
PAPILIONOIDEAE_Sphenostylis_angustifolia_VanWyk2604_AY582978,1
PAPILIONOIDEAE_Wajira_praecox_Pasquet1016_AY583001,1
PAPILIONOIDEAE_Wajira_virescens_Thulin5354_AY583000,1
PAPILIONOIDEAE_Wajira_grahamiana_Fagerlind391_AY583003,1
PAPILIONOIDEAE_Wajira_albescens_Pasquet1057_AY583010,1
PAPILIONOIDEAE_Wajira_danissana_Thulin7660_AY583008,1
PAPILIONOIDEAE_Strongylodon_macrobotrys_Cardoso4656_NC067540,1
PAPILIONOIDEAE_Pediomelum_hypogaeum_Egan209_EF549977,1
PAPILIONOIDEAE_Pediomelum_reverchonii_Egan200_EF549984,1
PAPILIONOIDEAE_Pediomelum_linearifolium_Egan206_EF549970,1
PAPILIONOIDEAE_Pediomelum_canescens_Egan250_EF549996,1
PAPILIONOIDEAE_Pediomelum_piedmontanum_Egan262_EF549997,1
PAPILIONOIDEAE_Pediomelum_tenuiflorum_Wojciechowski716_AY386872,1
PAPILIONOIDEAE_Pediomelum_digitatum_Egan190_EF549975,1
PAPILIONOIDEAE_Pediomelum_cyphocalyx_Egan181_EF549968,1
PAPILIONOIDEAE_Pediomelum_latestipulatum_Egan186_EF549978,1
PAPILIONOIDEAE_Pediomelum_argophyllum_Egan213_EF549988,1
PAPILIONOIDEAE_Pediomelum_esculentum_Egan216_EF549976,1
PAPILIONOIDEAE_Pediomelum_pentaphyllum_Egan172_EF549983,1
PAPILIONOIDEAE_Pediomelum_californicum_Egan119_EF549973,1
PAPILIONOIDEAE_Pediomelum_subacaule_Egan218_EF549957,1
PAPILIONOIDEAE_Pediomelum_cuspidatum_Egan193_EF549942,1
PAPILIONOIDEAE_Pediomelum_megalanthum_Egan158_EF549980,1
PAPILIONOIDEAE_Pediomelum_pariense_Egan148_EF549982,1
PAPILIONOIDEAE_Pediomelum_aromaticum_Egan149_EF549972,1
PAPILIONOIDEAE_Pediomelum_palmeri_Grimes2636_EF549934,1
PAPILIONOIDEAE_Pediomelum_rhombifolium_Egan179_EF549938,1
PAPILIONOIDEAE_Pediomelum_castoreum_Egan125_EF549974,1
PAPILIONOIDEAE_Pediomelum_mephiticum_Egan126_EF549947,1
PAPILIONOIDEAE_Rupertia_hallii_Egan277_EF549953,1
PAPILIONOIDEAE_Rupertia_physodes_Wojciechowski889_AY386868,1
PAPILIONOIDEAE_Rupertia_rigida_Egan268_EF549999,1
PAPILIONOIDEAE_Ladeania_juncea_Egan164_EF549986,1
PAPILIONOIDEAE_Ladeania_lanceolata_Ahrendsen24_MN115429,1
PAPILIONOIDEAE_Otholobium_glandulosum_Kelch028_AY386871,1
PAPILIONOIDEAE_Hoita_macrostachya_Egan271_EF549954,1
PAPILIONOIDEAE_Hoita_orbicularis_Egan279_EF549962,1
PAPILIONOIDEAE_Bituminaria_bituminosa_Sosa1140_JF501107,1
PAPILIONOIDEAE_Psoralea_bolusii_Stirton10052_JN008180,1
PAPILIONOIDEAE_Cullen_australasicum_Grimes3188_EF550002,1
PAPILIONOIDEAE_Cullen_tenax_Grimes3159_EF550004,1
PAPILIONOIDEAE_Cullen_cinereum_Hu1186_AF142699,1
PAPILIONOIDEAE_Cullen_corylifolium_NC042700,1
PAPILIONOIDEAE_Psoralea_bracteolata_Germ4211_EF550005,1
PAPILIONOIDEAE_Psoralea_striata_Fellingham37036_EF549949,1
PAPILIONOIDEAE_Psoralea_affinis_AMM3903_KM896929,1
PAPILIONOIDEAE_Psoralea_pinnata_Stirton19991318_JN008182,1
PAPILIONOIDEAE_Orbexilum_simplex_Thomas65475_EF549931,1
PAPILIONOIDEAE_Orbexilum_virgatum_Egan253_EF549937,1
PAPILIONOIDEAE_Orbexilum_pedunculatum_Egan240_EF549950,1
PAPILIONOIDEAE_Orbexilum_lupinellus_Egan257_EF549952,1
PAPILIONOIDEAE_Orbexilum_melanocarpum_Grimes2287_EF549948,1
PAPILIONOIDEAE_Orbexilum_onobrychis_Raven27603_EF549933,1
PAPILIONOIDEAE_Phylacium_bracteosum_MN966641,1
PAPILIONOIDEAE_Glycine_dolichocarpa_CSIROG1134_NC021648,1
PAPILIONOIDEAE_Glycine_syndetika_CSIROG1300_KC893638,1
PAPILIONOIDEAE_Glycine_canescens_CSIROG1232_KC893635,1
PAPILIONOIDEAE_Glycine_tomentella_CSIROG1403_NC021636,1
PAPILIONOIDEAE_Glycine_falcata_CSIROG1718_KC893637,1
PAPILIONOIDEAE_Glycine_max_NC007942,1
PAPILIONOIDEAE_Glycine_microphylla_PGGC1272_EF550008,1
PAPILIONOIDEAE_Glycine_stenophita_CSIROG1974_KC893634,1
PAPILIONOIDEAE_Glycine_cyrtoloba_CSIROG1267_NC021645,1
PAPILIONOIDEAE_Teramnus_labialis_Huang4656_LC315201,1
PAPILIONOIDEAE_Teramnus_uncinatus_Unvouchered_EU717400,1
PAPILIONOIDEAE_Amphicarpaea_bracteata_DelgadoSalinas1552_AY582971,1
PAPILIONOIDEAE_Amphicarpaea_edgeworthii_MW421594,1
PAPILIONOIDEAE_Amphicarpaea_ferruginea_Murata62_LC315204,1
PAPILIONOIDEAE_Afroamphica_africana_Loveridge298_LC315206,1
PAPILIONOIDEAE_Pueraria_candollei_TH150206_EU106107,1
PAPILIONOIDEAE_Pueraria_montana_Wojciechowski1189_JQ669576,1
PAPILIONOIDEAE_Nogra_grahamii_Maxwell891232_KX713107,1
PAPILIONOIDEAE_Teyleria_stricta_VogtBU445_KX213221,1
PAPILIONOIDEAE_Teyleria_tetragona_MN966648,1
PAPILIONOIDEAE_Neonotonia_wightii_Doyle1295_EU717402,1
PAPILIONOIDEAE_Neorautanenia_mitis_Hedren566_JN008178,1
PAPILIONOIDEAE_Pachyrhizus_erosus_NC026682,1
PAPILIONOIDEAE_Pseudeminia_comosa_Doyle1293_KX213182,1
